course,reviews,tokens,sentiment_scores,label,entropy_values
arctic-introduction-climate,"Very good, very Canadian.",['good'],[0.5648148148148148],5,[0.7557472208646809]
arctic-introduction-climate,"Content was very good. I didn't liked the assignments, they were too short and the answering options were too narrow; sometimes they could be misinterpreted and led to a confusing missing point. I would recommend to add several more questions for each assignment, chosen random for each attempt, put a limit on total attempts and give feedback on answers. Thanks for the course, I enjoyed it a lot; short but precise.","['good', 'attempt', 'total']","[0.5648148148148148, 0.425, 0.4375]",4,"[0.7557472208646809, 0.8654698974285927, 0.8571484374283715]"
arctic-introduction-climate,"really interesting, it's a really good base for all to understand the Arctic and a rebound to understand the climat change. I would like to learn more in the pdf lesson, if you'll be able to add some optional lessons to read I would appreciate, but for sur I'll take the next course. It well structure and explain. The other thing is about the test it will be interesting to have all the good answer after we've pass it. Just to understand our mistake","['good', 'youll', 'take']","[0.5648148148148148, -0.5555555555555555, 0.5648148148148148]",4,"[0.7557472208646809, 0.7642045065086205, 0.7557472208646809]"
arctic-introduction-climate,"An interesting, very well instructed MOOC! Very good lectures and excellent scripts. I also liked the many questions/quizzes that were embedded in the video lectures. If another MOOC was offered by the instructor, I would take it.","['mooc', 'lecture']","[0.5648148148148148, 1.0]",5,"[0.7557472208646809, 0.0]"
arctic-introduction-climate,"Good info. Instructor had rather odd body language, but friendly. Had trouble passing a couple of section tests due to ""check all that apply"" questions. Sections on ocean and atmosphere circulation and global warming rather boring and a little harder to follow. Interesting class overall.",['good'],[0.5648148148148148],4,[0.7557472208646809]
arctic-introduction-climate,"nice course, well taught, with interesting information",['nice'],[0.47916666666666663],5,[0.8273744775003173]
arctic-introduction-climate,"The course is good but it could be improved. For example, I don't think the images on the background (even if they are stunning) are particularly important and I think they could be substituted by plots and schemes referring to the topics (all the presented schemes where helpful, but there would have been more things that would have been good to see visually).","['good', 'helpful']","[0.5648148148148148, 0.5648148148148148]",2,"[0.7557472208646809, 0.7557472208646809]"
arctic-introduction-climate,There is a very technical portion to this class making it difficult for the neophyte to truly understand and explain course content.,['making'],[-0.6875],3,[0.6252624052234231]
automata-system-validation,"I really like the subject of the course. The presentation was really good. However, some of the concepts were not so easy to understand. The course does not provide any reading, so I had to watch the lectures again if I forget some of the details. Eventually I've started taking detailed notes and added screenshots to my notebook. I wish I could have more exercises just for practice that would not be graded. That would provide a safe env. to learn and practice before taking final tests. Some of the answers to exercises were very helpful to learn the concepts better. So, more such practical exercises would be helpful.","['really', 'practice']","[0.5648148148148148, 0.5291800000000001]",4,"[0.7557472208646809, 0.787323583326851]"
automata-system-validation,"Course is mostly theoretical. So far it's difficult to say anything about its practical implications and usefulness. It's my first course on Coursera, so I can't compare. But I think sometimes it lacks a bit clarity, especially considering lecturer's English and bad quality of subtitles which sometimes do not match real lecturer's words. Anyway it was interesting and now I'm really intrigued about how I can apply this new knowledge to real everyday development tasks. Most probably I will try following courses in the specialization. Thanks a lot to authors!","['far', 'lack']","[-0.6875, -0.5955882352941176]",3,"[0.6252624052234231, 0.7263179821168531]"
automata-system-validation,"Although superficial, it is a very good MOOC for introducing LTS testing.",['good'],[0.5648148148148148],5,[0.7557472208646809]
automata-system-validation,Very interesting and a good fine-tuning experience to my brain relating to systems! Awesome!,"['good', 'system']","[0.5648148148148148, 0.75]",5,"[0.7557472208646809, 0.5435644431995964]"
basic-modeling,"Excellent content. The instructors are very thorough in their explainations. The only fault I see is that there isn't many students doing the course, and such it is hard to get help, especially if your schedule is tight and you can only do online courses on Saturday and Sunday. Looking forward to taking the Advance course though.",['excellent'],[1.0],4,[0.0]
basic-modeling,Excellent course. The high level modeling language that is presented is very powerful and relatively simple to use. Maybe a couple of more lecture specifically dedicated to the modeling languange itself would allow easier kick-in to the course.,['excellent'],[1.0],5,[0.0]
basic-modeling,"""Basic Modeling for Discrete Optimiation"" is an excellent course for anyone interested in optimization models, improving their problem-solving skills and have a nice challenge.The explanations and examples are fantastic and all these complemented with the utilization of MiniZinc, which make the course so much natural in comparison to other optimization tools.Highly Recommended 5/5.","['modeling', 'course', 'interested']","[1.0, 0.5, 0.47916666666666663]",5,"[0.0, 0.8112781244591328, 0.8273744775003173]"
basic-modeling,Good Assignments.,['good'],[0.5648148148148148],4,[0.7557472208646809]
become-a-journalist-capstone,an excellent course in order to start a career as a professional Journalist. Thank you all,['excellent'],[1.0],5,[0.0]
become-a-journalist-capstone,"Excellent opportunity to show off the skill sets learned . As a returning journalist, I knocked off the rust and picked up a few new skills. Deadlines, which you live on in the industry help you get acquainted with performing work on a tight schedule. This class along with the other offered MSU Journalism Specialization courses will give you what you'll need to get a foot in the door.","['excellent', 'opportunity']","[1.0, 0.5]",5,"[0.0, 0.8112781244591328]"
become-a-journalist-capstone,"Overall this course was great but I wish that the timeline was a little clearer from the get-go. I had to rush at the end because I didn't realize week 2 was for finding sources, week 3 was for contacting them, week 4 was for interviews, etc...If the MSU staff could have given their feedback on our final projects, that would have been another plus, but I know it's difficult with so many students.",['finding'],[-0.6875],4,[0.6252624052234231]
behavioral-investing,Excellent course and practical approach,['excellent'],[1.0],5,[0.0]
behavioralgenetics,Really good video lectures! Pedagogical and with many interesting examples. Could have been a bit more of the statistical stuff in som form of interactive exercises.. Perfect for a first grasp on the field of human behavioral genetics!,['good'],[0.5648148148148148],4,[0.7557472208646809]
behavioralgenetics,Highly recommended. I loved the structure - I could watch a lecture every morning on my commute and do a bit of reading over my lunchtime. Matt McGue was a great lecturer who broke down complicated topics into easy to understand chunks. I'm a Psychology beginner but I got a lot out of this course and most of all I really enjoyed it. Definitely give it a go!,"['highly', 'loved', 'understand']","[0.5, 0.575, 0.425]",5,"[0.8112781244591328, 0.746234301365481, 0.8654698974285927]"
behavioralgenetics,This was a superb course. Very accessible for the non-specialist. Matt McGue is an excellent lecturer and very clear and conscientious about his subject. I feel I have a stronger grounding in behavioural genetics and am using much of the research in the classroom today. I would recommend this to anyone interested in the influence of genetics on behaviour.,"['superb', 'matt']","[0.875, 1.0]",5,"[0.3372900666170139, 0.0]"
behavioralgenetics,"Totally awesome! Great content, great techer, all videos are very well organized and well-thought. There is no need to have any previal knowledge in genetics nor psicology, it is meant for anyone who wants to look at the world and people differently!","['totally', 'awesome']","[0.5, 0.75]",5,"[0.8112781244591328, 0.5435644431995964]"
biases-portfolio-selection,"Quite disappointing. Lecturers / tutors no responding in time, and the solution provided are questionable, which already happened in earlier courses of this specialisation.",['quite'],[-0.5],2,[0.8112781244591328]
big-data-project,"This course deserves no starts. There were no instructors answering the many questions raised by the students. There were no explanations for wrong answers, and so no opportunity to learn. I was helping other students understand the assignments, and spent extra time grading submissions as no teaching assistants were available to help.There were a couple of very good teachers in the specialization, however the structure is critically flawed and your time would be better spent studying on your own.Avoid not just the capstone, but this entire series.","['deserves', 'raised', 'explanation', 'grading', 'couple']","[0.625, -0.5673076923076923, 0.5, 0.5648148148148148, 0.5291800000000001]",1,"[0.6962122601251458, 0.7534393408598374, 0.8112781244591328, 0.7557472208646809, 0.787323583326851]"
big-data-project,"The course was great for the most part. The material was more challenging than previous courses in the specialization and really helped me pull everything together and understand everything a bit better. I will say that I felt there was a huge gap between what was taught in the Neo4j course and the Neo4j assignment in the Capstone. I'd learned a lot from the assignment, but it took me loads of time and their were parts I still don't really understand. There are also a some broken hyperlinks to previous course material. I'd also like to see better support for a paid service. There is no interaction from a Coursera employee or course instructor in the forums at all. It would be nice to have someone to clarify some instruction or material that may not be clear at times.","['understand', 'part', 'also']","[0.5291800000000001, 0.5291800000000001, 0.47916666666666663]",4,"[0.787323583326851, 0.787323583326851, 0.8273744775003173]"
big-data-project,"The capstone, just like the courses of the specialization are a strong illustration of the problems of higher ed.",['ed'],[-0.5],1,[0.8112781244591328]
bilingual,"Very good context, yet the modules could be better distinguished.","['good', 'module']","[0.5648148148148148, 0.5291800000000001]",4,"[0.7557472208646809, 0.787323583326851]"
bilingual,Excellent! I would recommend to all those working on bilingual education and consulting for parents about it.,['excellent'],[1.0],5,[0.0]
bilingual,I loved the course because I surely learned a lot!!! Thank you!,['loved'],[0.575],5,[0.746234301365481]
bilingual,"The content of this course is really interesting and intriguing, but it would better if there are additional sources and information. Also, instead of mainly picture the teacher in the video, it would be nice if there could be more graphics and diagrams to illustrate the idea that the professor is trying to convey. Besides those minor deficiencies, I would say that this is a really good course and will worth your time.","['better', 'also', 'idea']","[0.5291800000000001, 0.47916666666666663, 0.5648148148148148]",4,"[0.787323583326851, 0.8273744775003173, 0.7557472208646809]"
bioconductor,very difficult course if you are new to R. Otherwise an okay course,['difficult'],[-0.6875],3,[0.6252624052234231]
bioconductor,"Lots of good data. Really a walk through of coding without too much theory. Would prefer a little more theory. Would have helped in completing the course and capstone. Ended up having to take Eric Lander Intro to Bio course on edx to really understand what I had done. In particular, a better explanation of what is going on at a basic with methylation marks and how the Epigenome Map was constructed.","['good', 'bio']","[0.5648148148148148, 0.5291800000000001]",4,"[0.7557472208646809, 0.787323583326851]"
bioconductor,It is a good start for people who study epigenomics!,['good'],[0.5648148148148148],5,[0.7557472208646809]
bioconductor,"The course is hard and needs previous knowledge of R. The time for for doing the ""quizes"" are not long. On the other hand, the questions resemble real world bioinformatics problems. The real inconvenience with this course is that the Forum does not work. Because not all that is questioned in the ""quizes"" are thought in the classes. So a help from the Forum is a real need for this course to work smoothly.",['real'],[-0.75],4,[0.5435644431995964]
bioconductor,The course is tough and needs lots of practice and time to handle the stuff explained in this course. In my opinion the stuff should be split into 2 courses (partA and partB) with detailed explanation of every covered topic.,['tough'],[-0.4375],4,[0.8571484374283715]
bioconductor,A nice course to introduce Bioconductor to students,['nice'],[0.47916666666666663],4,[0.8273744775003173]
bioconductor,I think it is a good class overall but the pace is fast and the resources that can help you is lacking. This will be good for someone who already kind of understands bioconductor.,"['good', 'help', 'good']","[0.5648148148148148, 0.5648148148148148, 0.46875]",4,"[0.7557472208646809, 0.7557472208646809, 0.8351164948421137]"
bioconductor,the class gave me nothing. nobody wan's to waste tons of hours to learn nothing. so I personally think this course is on of the worst classes among the Coursera.,['learn'],[-0.63125],1,[0.6895549542089607]
bioconductor,Course is not good at all. The instructor assumes that you have a good genomic background.,"['good', 'assumes']","[0.5648148148148148, 0.5648148148148148]",1,"[0.7557472208646809, 0.7557472208646809]"
bioconductor,"Very frustrating and disappointing experience. The lectures were hard to follow on many levels:1) The enunciation was unclear and subtitles were often of-the-point, plus they covered-up the code lines that were being discussed.2) The lecturer often failed to explain logical constructs that were being used, despite the fact that the course should have been understandable with no R cran/Bioconductor experience.3) The method arguments were either not explained, or very vaguely mentioned, which means applying them to new situations was unnecessarily complicated.4) No feedback at all was offered from course organisers/reps to anyone, even after complains in discussion forum about quiz questions.5) No feedback for solving the questions/correct answers even after the deadline.6) Quiz questions required methods and logical constructs that were not explained/used/mentioned in the lectures. One quiz lacked background information of what data needed to be used (the info was available in the previous version of the course). Some quiz questions were biologically inaccurate i.e. confusing genes/transcripts/exons.","['disappointing', 'feedback']","[-0.5, -0.5]",1,"[0.8112781244591328, 0.8112781244591328]"
bioconductor,"Discussions in this course are voiceless and dead and the instructor never appears in discussions. I couldn't understand anything from video lectures: cannot understand enunciation not enough detailed, lack of examples related to the assignments. So the only source was repository http://kasperdanielhansen.github.io/genbioconductor/ with html files. And a lot of searching through bioconductor forums.I liked the relevance of quiz questions to real life genomic questions, but all quiz questions were outstandingly difficult, because of both lack of examples in lectures and errors in some packages inside bioconductor.Overall I expected much more from this course and I cannot recommend it to anyone.",['assignment'],[-0.6875],2,[0.6252624052234231]
bioconductor,"Excellent introduction to Bioconductor. Thanks to the team. However, absence of inputs from TA or Instructor was felt in the discussion.",['excellent'],[1.0],5,[0.0]
bioconductor,I learned a lot from this class and the instructor is good.,['instructor'],[0.5648148148148148],5,[0.7557472208646809]
bioconductor,"Four stars because the content is good. Not five stars because the english is not so good and for a non-english expert it can be difficult to understand, and the subtitle contains quite often errors.","['good', 'english', 'nonenglish']","[0.5648148148148148, 0.5648148148148148, -0.6875]",4,"[0.7557472208646809, 0.7557472208646809, 0.6252624052234231]"
build-app,"In this capstone project, you're given a framework to work with, and asked to create an app with pretty minimal required criteria. The problem is, there's very little instructions or support, so it feels like a classroom where the instructor said ""do whatever you want"" and walks out of the door. Overall the specialization feels ill-organized and of questionable quality, and there are plenty of negative sentiments in the forums.",['classroom'],[-0.4895833333333333],1,[0.8194292532161829]
build-app,"After the first week, the instructors never showed up to answer a single question in the forums. The capstone project itself was disappointing, I learned much more from doing my own app in class #3.I took the Coursera Android specialization, which was eons better than this. I would not recommend this iOS specialization to anyone. I would never again take a MOOC from U of Toronto.","['question', 'app']","[-0.5, 0.5291800000000001]",1,"[0.8112781244591328, 0.787323583326851]"
build-app,"This capstone project was a huge disappointment to me. The course caption stated that this would be where we would use Location, Design and Usability, and Persistence and Settings to build a high quality app. Also stated is that ""you’ll apply your skills to create a fully-functioning photo editing app for iPhone, iPad, and Apple Watch."" Earlier I have also read that we would be allowed to build an app of our choice or according to teacher's specification. That text now seems to have been removed.Anyway, none of these promises were kept. Instead we got something like 20 minutes of lectures in total for the whole four weeks, all on a simple framework to track face features. Unfortunately this framework isn't very competent, so there's only so much you can do with it. Most of us have only placed some static images and simple animations on top of the face shown in the camera view, and that is actually enough to get full marks according to the form used in the peer review. How does that even begin to fulfil the promises of the caption?We have paid as much for this course as for the previous three. There should of course be a similar amount of lectures on more advanced topics like current best practises for UI design, the Location API which was promised, and other interesting things that provide the building blocks for a state of the art iOS app. For a real cornerstone project, I expect that more than 4 weeks would be necessary in order to be able to build a good app, since many of us are doing this on our spare time.I feel sad that I had the misfortune of signing up for this course before it was made, but hope that you will take our collective criticism and make a good course out of this for future students.","['location', 'build', 'app', 'static', 'full', 'form', 'used', 'promise']","[0.5, -0.875, 0.5833333333333334, 0.48451162790697677, 0.5648148148148148, -0.625, -0.4375, 0.5648148148148148]",1,"[0.8112781244591328, 0.3372900666170139, 0.7382848661434503, 0.8233232038953151, 0.7557472208646809, 0.6962122601251458, 0.8571484374283715, 0.7557472208646809]"
build-app,I'm kind of disappointed with this last level. It isn't really what i expected.,['im'],[0.46875],3,[0.8351164948421137]
build-app,"If I could, I would rate it 0/5 stars.Do not, I repeat, DO NOT pay and enroll this course. And you will be disappointed if you do. There, now you have been warned.This part of the specialization has been put together in a haste, without effort and absolutely without any care of teaching. I'm completely shocked and disappointed.In other words:It is a complete joke and a sad excuse for a MOOC. Shame on you University of Toronto!Yes, harsh words, and here's why:The course description does not reflect the contents nor the final assignment. Face tracking? That's pretty far from what I expected from this when I paid $284 for the specialization.In total, there is only 25minutes of video lectures. Really? That's it? It's way too little for a capstone project course.Staff does not care about learners's concerns. Zero effort to respond in the discussion forums. It takes days before there is any response at all.The assignment descriptions and requirements are sparse and vague. Why are we doing face tracking when the description talks about location apis and ""putting it all together""?","['specialization', 'teaching', 'completely', 'shocked']","[0.5, -0.625, -0.48214285714285715, -0.5556666666666666]",1,"[0.8112781244591328, 0.6962122601251458, 0.8251252643746187, 0.7641040850198666]"
business-of-cybersecurity-capstone,"Thank you, I really love this course and I will make a transition from the Servicedesk officer to Cybersecurity officer. I would like to know about the online degree program. Also, I want to know whether there are assistantships, scholarships and financial aid opportunities.",['officer'],[0.5],5,[0.8112781244591328]
business-of-cybersecurity-capstone,Great course that provides good insights into the world of CyberSecurity!,['good'],[0.5648148148148148],5,[0.7557472208646809]
business-of-cybersecurity-capstone,Very nice capstone project. Really useful and practice related.,['nice'],[0.47916666666666663],5,[0.8273744775003173]
business-statistics,Very good class that teaches you the basic statistic models and its use in real life. The instructor is extremely clear in teaching and the examples she used are really helpful for understanding and applying. Highly recommend this class!! Take it if you wanna have some knowledge about statistics. And its use in real life is more than I imagined...,"['good', 'understanding']","[0.5648148148148148, 0.5]",5,"[0.7557472208646809, 0.8112781244591328]"
business-statistics,Excellent Course!! Ms Dutta has profound knowledge and it helped me to implement the concepts learnt in my profession. I'm a Business Analyst and look forward to enrol in all of her courses. Thanks to Coursera for hosting such a great portal!!!,['excellent'],[1.0],5,[0.0]
business-statistics,"A very good course, well presented by the prof. Many examples with solutions in Excel that helped to make it clear.",['good'],[0.5648148148148148],4,[0.7557472208646809]
business-statistics,A very good instructor ...totally explain everything,"['good', 'instructor']","[0.5648148148148148, 0.5]",5,"[0.7557472208646809, 0.8112781244591328]"
business-statistics,Concepts are well explained with very good examples.Also doing it in excel makes it easier.Thanks!Great course for beginners,['explained'],[0.5648148148148148],5,[0.7557472208646809]
business-statistics,Lucid and follows a step-by-step structure which allows for conceptual clarity.,['lucid'],[0.4375],5,[0.8571484374283715]
business-statistics,Excellent course. The lectures by Prof. Dutta were clear and to the point. This course helped me in clarifying a lot of doubts.,['excellent'],[1.0],5,[0.0]
causal-effects,"Unfortunately this course consists of the Professor reading his notes very quickly with rapid listing of concepts and very little time spent explaining complex topics. The quizzes emphasize the terms for various elements of the analysis rather than teaching how to work with the tools to analyze data. There does not seem to be anyone monitoring the course forum and mistakes in quiz questions and questions asked on the forum are not answered or replied to by anyone. I was committed to working with the course but by week 4 it was unfortunately impossible to absorb and there was no way to interact with anyone to get help. I'm sure there is room for improvement on this course and I hope the instructor does work to improve with the course, but currently the course is disappointing as a learning experience.","['unfortunately', 'anyone', 'course']","[-0.875, -0.875, -0.5]",1,"[0.3372900666170139, 0.3372900666170139, 0.8112781244591328]"
causal-effects,"The course is great. Although it is really fast and requires some advanced understanding of algebra and statistics, it is not bad. However, I would reccommend to expand it and to include the advances in non-manipulative causation, as sustained by proff. J. Pearl and F. Squazzoni (specifically talking about sociology).",['statistic'],[-0.5955882352941176],4,[0.7263179821168531]
causal-effects,Very good course!,['good'],[0.5648148148148148],5,[0.7557472208646809]
causal-effects,Great intro to causal effects. Gives great intuition.,['intro'],[-0.5],4,[0.8112781244591328]
causal-effects,I enjoyed the topic. The lectures could be augmented by breaking them up into more pieces (particularly for Instrumental variables and double difference). It would have been nice if additional (optional) readings were listed to give interested students more direction. I also would have liked to see topics added to the course such as propensity score matching.,"['enjoyed', 'double']","[0.425, 0.47916666666666663]",3,"[0.8654698974285927, 0.8273744775003173]"
causal-effects,"Material is goodLecture style is dull, monotonous & uninspiringFor best results - follow the advice given in the MOOC, i.e read relevant readings before viewing lectures.",['monotonous'],[0.48451162790697677],4,[0.8233232038953151]
causal-effects,This give a very good insight into what i did not know earlier. Thank you Prof. Anders Holm. I recommend this course to all all. I did a lot of learning. Go for it,['good'],[0.5648148148148148],3,[0.7557472208646809]
changing-global-order,Undoubtedly one of the best courses. Loved it. The additional readings were really very useful and the lecture content was manageable and interesting. A must try!,"['undoubtedly', 'best', 'loved', 'lecture']","[0.5, 0.48451162790697677, 0.575, 0.4375]",5,"[0.8112781244591328, 0.8233232038953151, 0.746234301365481, 0.8571484374283715]"
changing-global-order,I enjoyed every moment here. I recommend this course for everyone.,['enjoyed'],[0.425],5,[0.8654698974285927]
changing-global-order,"A good global/general overview of oppertunities and threads irt new emerging powers and states!For me, as European, it may had more focus on CSTO instead of NATO (we generally know enough about this organizations, and information about CSTO is more difficult to get (in English/German/French/Dutch)After all a very good course, i'm looking forward to see a followup comming ;-)","['good', 'european', 'csto']","[0.5648148148148148, -0.6875, 0.5648148148148148]",4,"[0.7557472208646809, 0.6252624052234231, 0.7557472208646809]"
chemicals-health,Thank you for giving me excellent information on Chemicals and Health. It is very helpful course for me. Thank you Johns Hopkins University and coursera.,['giving'],[1.0],5,[0.0]
chemicals-health,Course is well organized and very good presented. You can feel the pre-work behind. Lecturers take their job very seriously. Examinations and peer review assignments lead to review what you've learnt and better understanding. Thanks to all efforts.,"['good', 'review']","[0.5648148148148148, 0.5291800000000001]",5,"[0.7557472208646809, 0.787323583326851]"
chemicals-health,Nice understanding and structured course. It has strongly deepened my knowledge on health outcomes of chemicals.,['nice'],[0.47916666666666663],5,[0.8273744775003173]
chemicals-health,Very Good Introduction to Environmental Chemical Exposure,['good'],[0.5648148148148148],4,[0.7557472208646809]
