course,reviews,tokens,sentiment_scores,label,entropy_values,fuzzy_rating
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",nice,['nice'],[0.47916666666666663],3,[0.8273744775003173],3.4249496498800855
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",pretty good,['good'],[0.5648148148148148],4,[0.7557472208646809],3.480658752923455
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good cooler,['good'],[0.5648148148148148],5,[0.7557472208646809],3.480658752923455
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],4,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],4,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",worthless,['worthless'],[-0.5],1,[0.8112781244591328],2.722609866868543
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good quality product,"['good', 'quality']","[0.5648148148148148, 0.35714285714285715]",4,"[0.7557472208646809, 0.9059282160429991]",3.414115131210351
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",decent product,['decent'],[0.39285714285714285],3,[0.885612871398971],3.3638383674576975
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",brilliant,['brilliant'],[0.375],5,[0.8960382325345574],3.3506129189009157
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",worst experience ever!,['worst'],[-0.63125],1,[0.6895549542089607],2.5999620192945017
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",perfect product!,['perfect'],[0.375],5,[0.8960382325345574],3.3506129189009157
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],4,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",simply awesome,['awesome'],[0.75],5,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",nice product,['nice'],[0.47916666666666663],4,[0.8273744775003173],3.4249496498800855
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",useless product,['useless'],[-0.5],1,[0.8112781244591328],2.722609866868543
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",excellent,['excellent'],[1.0],5,[0.0],3.926591924841154
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)","like an assembled, one can get for 4.5k cheap quality","['get', 'k']","[-0.375, 0.35714285714285715]",1,"[0.8960382325345574, 0.9059282160429991]",3.014627791423344
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",simply awesome,['awesome'],[0.75],5,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],5,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],5,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",not good,['good'],[0.5648148148148148],2,[0.7557472208646809],3.480658752923455
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",very good,['good'],[0.5648148148148148],4,[0.7557472208646809],3.480658752923455
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",slightly disappointed,['disappointed'],[-0.375],2,[0.8960382325345574],2.800555887516668
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good quality product,"['good', 'quality']","[0.5648148148148148, 0.35714285714285715]",4,"[0.7557472208646809, 0.9059282160429991]",3.414115131210351
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",expected a better product,['better'],[0.5291800000000001],2,[0.787323583326851],3.4567103598400135
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",horrible,['horrible'],[-0.625],1,[0.6962122601251458],2.6061539349632334
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",nice,['nice'],[0.47916666666666663],3,[0.8273744775003173],3.4249496498800855
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good quality product,"['good', 'quality']","[0.5648148148148148, 0.35714285714285715]",4,"[0.7557472208646809, 0.9059282160429991]",3.414115131210351
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",simply awesome,['awesome'],[0.75],5,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",highly recommended,['highly'],[0.5],5,[0.8112781244591328],3.43909036103874
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",brilliant,['brilliant'],[0.375],5,[0.8960382325345574],3.3506129189009157
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",highly recommended,['highly'],[0.5],5,[0.8112781244591328],3.43909036103874
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",very poor,['poor'],[-0.4107142857142857],1,[0.874643448443139],2.7814905834659567
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good quality product,"['good', 'quality']","[0.5648148148148148, 0.35714285714285715]",4,"[0.7557472208646809, 0.9059282160429991]",3.414115131210351
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],4,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",useless product,['useless'],[-0.5],1,[0.8112781244591328],2.722609866868543
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",simply awesome,['awesome'],[0.75],5,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",unsatisfactory,['unsatisfactory'],[-0.5],1,[0.8112781244591328],2.722609866868543
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",really nice,"['really', 'nice']","[0.375, 0.47916666666666663]",4,"[0.8960382325345574, 0.8273744775003173]",3.3889780385108934
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",unsatisfactory,['unsatisfactory'],[-0.5],1,[0.8112781244591328],2.722609866868543
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",best in the market!,['best'],[0.48451162790697677],5,[0.8233232038953151],3.4285962040857627
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",highly recommended,['highly'],[0.5],5,[0.8112781244591328],3.43909036103874
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",classy product,['classy'],[0.375],5,[0.8960382325345574],3.3506129189009157
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good quality product,"['good', 'quality']","[0.5648148148148148, 0.35714285714285715]",4,"[0.7557472208646809, 0.9059282160429991]",3.414115131210351
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",best in the market!,['best'],[0.48451162790697677],5,[0.8233232038953151],3.4285962040857627
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good quality product,"['good', 'quality']","[0.5648148148148148, 0.35714285714285715]",4,"[0.7557472208646809, 0.9059282160429991]",3.414115131210351
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",brilliant,['brilliant'],[0.375],5,[0.8960382325345574],3.3506129189009157
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",nice product,['nice'],[0.47916666666666663],4,[0.8273744775003173],3.4249496498800855
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good quality product,"['good', 'quality']","[0.5648148148148148, 0.35714285714285715]",4,"[0.7557472208646809, 0.9059282160429991]",3.414115131210351
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",perfect product!,['perfect'],[0.375],5,[0.8960382325345574],3.3506129189009157
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",perfect product!,['perfect'],[0.375],5,[0.8960382325345574],3.3506129189009157
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",bad quality,"['bad', 'quality']","[-0.5955882352941176, 0.35714285714285715]",2,"[0.7263179821168531, 0.9059282160429991]",2.9231628895795407
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",worst experience ever!,['worst'],[-0.63125],1,[0.6895549542089607],2.5999620192945017
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",really nice,"['really', 'nice']","[0.375, 0.47916666666666663]",4,"[0.8960382325345574, 0.8273744775003173]",3.3889780385108934
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",highly recommended,['highly'],[0.5],5,[0.8112781244591328],3.43909036103874
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good quality product,"['good', 'quality']","[0.5648148148148148, 0.35714285714285715]",4,"[0.7557472208646809, 0.9059282160429991]",3.414115131210351
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",really nice,"['really', 'nice']","[0.375, 0.47916666666666663]",4,"[0.8960382325345574, 0.8273744775003173]",3.3889780385108934
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],5,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good quality product,"['good', 'quality']","[0.5648148148148148, 0.35714285714285715]",4,"[0.7557472208646809, 0.9059282160429991]",3.414115131210351
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",nice,['nice'],[0.47916666666666663],3,[0.8273744775003173],3.4249496498800855
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",worthless,['worthless'],[-0.5],1,[0.8112781244591328],2.722609866868543
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",very good,['good'],[0.5648148148148148],4,[0.7557472208646809],3.480658752923455
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",really nice,"['really', 'nice']","[0.375, 0.47916666666666663]",4,"[0.8960382325345574, 0.8273744775003173]",3.3889780385108934
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",highly recommended,['highly'],[0.5],5,[0.8112781244591328],3.43909036103874
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",very poor,['poor'],[-0.4107142857142857],1,[0.874643448443139],2.7814905834659567
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",best in the market!,['best'],[0.48451162790697677],5,[0.8233232038953151],3.4285962040857627
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",excellent,['excellent'],[1.0],5,[0.0],3.926591924841154
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",delightful,['delightful'],[0.75],4,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],5,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",worst experience ever!,['worst'],[-0.63125],1,[0.6895549542089607],2.5999620192945017
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good choice,['good'],[0.5648148148148148],4,[0.7557472208646809],3.480658752923455
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good quality product,"['good', 'quality']","[0.5648148148148148, 0.35714285714285715]",4,"[0.7557472208646809, 0.9059282160429991]",3.414115131210351
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],5,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",very good,['good'],[0.5648148148148148],4,[0.7557472208646809],3.480658752923455
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",excellent,['excellent'],[1.0],5,[0.0],3.926591924841154
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",very poor,['poor'],[-0.4107142857142857],1,[0.874643448443139],2.7814905834659567
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",classy product,['classy'],[0.375],5,[0.8960382325345574],3.3506129189009157
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],4,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",worst experience ever!,['worst'],[-0.63125],1,[0.6895549542089607],2.5999620192945017
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",nice,['nice'],[0.47916666666666663],3,[0.8273744775003173],3.4249496498800855
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",decent product,['decent'],[0.39285714285714285],3,[0.885612871398971],3.3638383674576975
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",useless product,['useless'],[-0.5],1,[0.8112781244591328],2.722609866868543
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],4,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",awesome,['awesome'],[0.75],5,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good quality product,"['good', 'quality']","[0.5648148148148148, 0.35714285714285715]",4,"[0.7557472208646809, 0.9059282160429991]",3.414115131210351
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good choice,['good'],[0.5648148148148148],4,[0.7557472208646809],3.480658752923455
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good,['good'],[0.5648148148148148],3,[0.7557472208646809],3.480658752923455
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",simply awesome,['awesome'],[0.75],5,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",unsatisfactory,['unsatisfactory'],[-0.5],1,[0.8112781244591328],2.722609866868543
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good quality product,"['good', 'quality']","[0.5648148148148148, 0.35714285714285715]",4,"[0.7557472208646809, 0.9059282160429991]",3.414115131210351
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",awesome,['awesome'],[0.75],5,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",nice,['nice'],[0.47916666666666663],3,[0.8273744775003173],3.4249496498800855
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],5,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",terrible product,['terrible'],[-0.625],1,[0.6962122601251458],2.6061539349632334
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",best in the market!,['best'],[0.48451162790697677],5,[0.8233232038953151],3.4285962040857627
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good choice,['good'],[0.5648148148148148],4,[0.7557472208646809],3.480658752923455
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good choice,['good'],[0.5648148148148148],4,[0.7557472208646809],3.480658752923455
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",best in the market!,['best'],[0.48451162790697677],5,[0.8233232038953151],3.4285962040857627
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",awesome,['awesome'],[0.75],5,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",delightful,['delightful'],[0.75],4,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",very good,['good'],[0.5648148148148148],4,[0.7557472208646809],3.480658752923455
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",perfect product!,['perfect'],[0.375],5,[0.8960382325345574],3.3506129189009157
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",perfect product!,['perfect'],[0.375],5,[0.8960382325345574],3.3506129189009157
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",decent product,['decent'],[0.39285714285714285],3,[0.885612871398971],3.3638383674576975
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",excellent,['excellent'],[1.0],5,[0.0],3.926591924841154
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",simply awesome,['awesome'],[0.75],5,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",brilliant,['brilliant'],[0.375],5,[0.8960382325345574],3.3506129189009157
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",classy product,['classy'],[0.375],5,[0.8960382325345574],3.3506129189009157
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],4,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",best in the market!,['best'],[0.48451162790697677],5,[0.8233232038953151],3.4285962040857627
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",best in the market!,['best'],[0.48451162790697677],5,[0.8233232038953151],3.4285962040857627
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",best in the market!,['best'],[0.48451162790697677],5,[0.8233232038953151],3.4285962040857627
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],5,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",classy product,['classy'],[0.375],5,[0.8960382325345574],3.3506129189009157
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",very good,['good'],[0.5648148148148148],4,[0.7557472208646809],3.480658752923455
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",simply awesome,['awesome'],[0.75],5,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",delightful,['delightful'],[0.75],4,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",very poor,['poor'],[-0.4107142857142857],1,[0.874643448443139],2.7814905834659567
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",nice product,['nice'],[0.47916666666666663],4,[0.8273744775003173],3.4249496498800855
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],4,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",decent product,['decent'],[0.39285714285714285],3,[0.885612871398971],3.3638383674576975
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",highly recommended,['highly'],[0.5],5,[0.8112781244591328],3.43909036103874
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",excellent,['excellent'],[1.0],5,[0.0],3.926591924841154
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good,['good'],[0.5648148148148148],3,[0.7557472208646809],3.480658752923455
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",horrible,['horrible'],[-0.625],1,[0.6962122601251458],2.6061539349632334
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",perfect product!,['perfect'],[0.375],5,[0.8960382325345574],3.3506129189009157
